CMDLINE E:\Software\Anaconda\envs\MyEnvNN_torch_MRI\python.exe MemoryTest.py
MEM 2888.828125 1584630206.2113
MEM 2889.886719 1584630206.3206
MEM 2890.933594 1584630206.4300
MEM 2891.988281 1584630206.5393
MEM 2893.042969 1584630206.6487
MEM 2894.101562 1584630206.7580
MEM 2895.156250 1584630206.8674
MEM 2896.207031 1584630206.9767
MEM 2897.261719 1584630207.0861
MEM 2898.320312 1584630207.1954
MEM 2899.375000 1584630207.3048
MEM 2900.421875 1584630207.4141
MEM 2901.472656 1584630207.5235
MEM 2902.527344 1584630207.6328
MEM 2903.582031 1584630207.7422
MEM 2904.632812 1584630207.8515
MEM 2905.687500 1584630207.9609
MEM 2906.742188 1584630208.0702
MEM 2907.796875 1584630208.1796
MEM 2908.851562 1584630208.2889
MEM 2909.906250 1584630208.3983
MEM 2910.957031 1584630208.5076
MEM 2912.011719 1584630208.6170
MEM 2913.062500 1584630208.7263
MEM 2914.121094 1584630208.8356
MEM 2915.171875 1584630208.9450
MEM 2916.230469 1584630209.0543
MEM 2917.285156 1584630209.1637
MEM 2918.339844 1584630209.2730
MEM 2919.394531 1584630209.3824
MEM 2920.453125 1584630209.4917
MEM 2921.507812 1584630209.6011
MEM 2922.566406 1584630209.7116
MEM 2923.617188 1584630209.8209
MEM 2924.679688 1584630209.9313
MEM 2925.738281 1584630210.0407
MEM 2926.785156 1584630210.1500
MEM 2927.843750 1584630210.2594
MEM 2928.890625 1584630210.3687
MEM 2929.945312 1584630210.4781
MEM 2931.000000 1584630210.5874
MEM 2932.054688 1584630210.6968
MEM 2933.101562 1584630210.8061
MEM 2934.156250 1584630210.9155
MEM 2935.207031 1584630211.0248
MEM 2936.265625 1584630211.1342
MEM 2937.324219 1584630211.2435
MEM 2938.375000 1584630211.3529
MEM 2939.441406 1584630211.4635
MEM 2940.503906 1584630211.5739
MEM 2941.558594 1584630211.6832
MEM 2942.613281 1584630211.7926
MEM 2943.671875 1584630211.9019
MEM 2944.726562 1584630212.0113
MEM 2945.773438 1584630212.1206
MEM 2946.832031 1584630212.2300
MEM 2947.882812 1584630212.3393
MEM 2948.937500 1584630212.4487
MEM 2949.988281 1584630212.5580
